videoId,languageId,edition,version,reason,r2AssetId,r2PublicUrl,originalFilename,status,flags,formatDurationSec,videoDurationSec,audioDurationSec,durationRatio,ffprobeError
1_wl60-0-0,5613,wl60,32899,,44101f6b-312c-4543-b05e-8573fa8681ab,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5613/videos/412fbea1-c178-453c-888b-001512a9d7cd/5613_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5613---32899---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,3504.469,29.437,3504.469,119.051,
1_wl60-0-0,12399,wl60,34359,,05c6725b-baf4-47a2-9983-bb3773053bd0,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/12399/videos/0157924c-810f-4c1a-9612-9999c05c89eb/12399_1_wl60-0-0.mp4,1_wl60-0-0---WL60---12399---34359---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,3504.469,29.437,3504.469,119.051,
1_wl60-0-0,12402,wl60,34362,,48c25ce3-c6ae-4aa7-99d3-2c07ed8b3cdd,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/12402/videos/2a09e33e-4f30-46a1-bef2-a3401db38214/12402_1_wl60-0-0.mp4,1_wl60-0-0---WL60---12402---34362---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,3504.469,29.437,3504.469,119.051,
1_wl-0-0,5613,wl,32899,,19a6f41e-6725-45ef-b06b-0d02e0b855d9,https://api-media-core.jesusfilm.org/1_wl-0-0/variants/5613/videos/ce6f9c87-8bbc-47fe-90c4-076ba07c008a/5613_1_wl-0-0.mp4,1_wl-0-0---WL---5613---32899---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,4791.637,68.520,4791.637,69.930,
1_wl-0-0,12399,wl,34359,,c4853219-6b35-4f41-8b72-ae77d90a1ff6,https://api-media-core.jesusfilm.org/1_wl-0-0/variants/12399/videos/413185a8-750d-473e-af89-07742886a524/12399_1_wl-0-0.mp4,1_wl-0-0---WL---12399---34359---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,4791.637,68.520,4791.637,69.930,
1_wl-0-0,12402,wl,34362,,585ad3c9-3cdc-4af0-9b42-7c9e8745a754,https://api-media-core.jesusfilm.org/1_wl-0-0/variants/12402/videos/d6962b98-d7e7-4a87-ba0d-d4dbbf13bc53/12402_1_wl-0-0.mp4,1_wl-0-0---WL---12402---34362---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,4791.637,68.520,4791.637,69.930,
Perfect,101511,base,1,,accf1ce9-670e-454e-84bc-9132d08a1f5b,https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/33849bf3-fc82-4a6c-b948-fb52d803e082/101511_Perfect.mp4,Perfect---base---101511---1.mp4.mp4,error,ffprobe_failed,,,,,Command failed: ffprobe -v quiet -print_format json -show_format -show_streams https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/33849bf3-fc82-4a6c-b948-fb52d803e082/101511_Perfect.mp4
Perfect,101511,base,1,,5f8d917d-241d-4944-96b6-cc976a7ef0f9,https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/2172005a-6532-48e6-97bb-73d4ac599be3/101511_Perfect.mp4,Perfect---base---101511---1.mp4.mp4,error,ffprobe_failed,,,,,Command failed: ffprobe -v quiet -print_format json -show_format -show_streams https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/2172005a-6532-48e6-97bb-73d4ac599be3/101511_Perfect.mp4
Perfect,101511,base,1,,5cc4b0ce-3e16-49d0-8667-40d9ce822efc,https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/2df9e47a-3437-4f7b-8e37-86d7058ec50d/101511_Perfect.mp4,Perfect---base---101511---1.mp4.mp4,error,ffprobe_failed,,,,,Command failed: ffprobe -v quiet -print_format json -show_format -show_streams https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/2df9e47a-3437-4f7b-8e37-86d7058ec50d/101511_Perfect.mp4
1_cl-0-0,21578,ec,35338,,fb0eb043-90c4-4092-8e08-be269219a51f,https://api-media-core.jesusfilm.org/1_cl-0-0/variants/21578/videos/cb642e2b-4de3-4aac-8b91-cc6cac1f7f25/21578_1_cl-0-0.mp4,1_cl-0-0---EC---21578---35338---0---0.mp4,fail,container_video_ratio_ge_3;audio_video_ratio_ge_3,3744.000,308.663,3744.000,12.130,
