r2AssetId,r2PublicUrl,originalFilename,videoId,languageId,edition,version,missingMuxVideoId,muxStatus,muxErrorMessage
fe67953b-25d8-40f1-9895-033cc2887ab2,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/27145/videos/856190a4-ee6f-45ad-9cb7-31c7cc782476/27145_1_wl60-0-0.mp4,1_wl60-0-0---WL60---27145---35107---0---0.mp4,1_wl60-0-0,27145,wl60,35107,true,,
0400207d-d60f-4b81-a5f4-5805da9e7e0a,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/2029/videos/185195cf-0828-4938-95da-419044d25efb/2029_1_wl60-0-0.mp4,1_wl60-0-0---WL60---2029---34687---0---0.mp4,1_wl60-0-0,2029,wl60,34687,true,,
eeb3e15b-4f1b-4db3-84f8-ad349054b8f3,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/8164/videos/1e5eeb3d-8ff1-4fbf-9d40-47b3a9ca3caa/8164_1_wl60-0-0.mp4,1_wl60-0-0---WL60---8164---34684---0---0.mp4,1_wl60-0-0,8164,wl60,34684,true,,
c63bd23d-bef3-4a7f-b759-103e7d0b57cb,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/185199/videos/f20e63a1-cc5f-47d5-8f25-0abda6e86df7/185199_1_wl60-0-0.mp4,1_wl60-0-0---WL60---185199---34680---0---0.mp4,1_wl60-0-0,185199,wl60,34680,true,,
aea4ab13-093d-40f0-8d6e-6bc41d858b43,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/7586/videos/e493fd16-d6cf-4ba6-962e-21d9a7aba39e/7586_1_wl60-0-0.mp4,1_wl60-0-0---WL60---7586---35100---0---0.mp4,1_wl60-0-0,7586,wl60,35100,true,,
f94a4fc0-7241-4a33-9b3d-340386ae70bd,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/4532/videos/5164be29-7211-4a87-a9d7-c7f4f5533c3a/4532_1_wl60-0-0.mp4,1_wl60-0-0---WL60---4532---35199---0---0.mp4,1_wl60-0-0,4532,wl60,35199,true,,
8229ef51-93f3-4988-b0a7-b889005dce01,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/21118/videos/f8dd0227-237b-4702-b8d8-2d3a9efc4072/21118_1_wl60-0-0.mp4,1_wl60-0-0---WL60---21118---35197---0---0.mp4,1_wl60-0-0,21118,wl60,35197,true,,
b403cf1d-b3aa-4ad1-825c-4fa77510b1a6,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/10529/videos/21a13494-c5f9-442e-bde2-d61d1232c978/10529_1_wl60-0-0.mp4,1_wl60-0-0---WL60---10529---35165---0---0.mp4,1_wl60-0-0,10529,wl60,35165,true,,
efb64b27-6c12-4aa7-af36-1ac0923e251c,https://api-media-core.jesusfilm.org/1_cl-0-0/variants/176838/videos/a452a46d-d1be-449e-884e-14abd6c9e09b/176838_1_cl-0-0.mp4,1_cl-0-0---AC---176838---34644---0---0.mp4,1_cl-0-0,176838,ac,34644,true,,
021eeea4-bdcb-4fb2-8339-b91ffc50698f,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/176838/videos/6ab7288e-d72c-4fd5-90db-86b7c15d8f2e/176838_1_wl60-0-0.mp4,1_wl60-0-0---WL60---176838---34643---0---0.mp4,1_wl60-0-0,176838,wl60,34643,true,,
0bf90ae5-e776-488e-9c9d-6747041b9599,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/19191/videos/1126e281-6468-40ea-a4d0-a52dc5147a7d/19191_1_wl60-0-0.mp4,1_wl60-0-0---WL60---19191---34973---0---0.mp4,1_wl60-0-0,19191,wl60,34973,true,,
d3bd9e78-440b-4d0c-9492-6644eafd489f,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/19241/videos/67be18b3-2062-4ff2-bfb3-9cb3a319ee99/19241_1_wl60-0-0.mp4,1_wl60-0-0---WL60---19241---34972---0---0.mp4,1_wl60-0-0,19241,wl60,34972,true,,
3bbedc81-b0ec-49d3-883d-82f35f533eac,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/10528/videos/59ced57d-5481-42cd-a9a4-17df9c070443/10528_1_wl60-0-0.mp4,1_wl60-0-0---WL60---10528---34927---0---0.mp4,1_wl60-0-0,10528,wl60,34927,true,,
1b8112b6-709a-4049-8f4c-36d52eeafe31,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/24038/videos/feee8308-092e-4fe0-b70d-cc9adfe3453c/24038_1_wl60-0-0.mp4,1_wl60-0-0---WL60---24038---34869---0---0.mp4,1_wl60-0-0,24038,wl60,34869,true,,
b5d7fa83-4b27-47c7-bc6d-21345e48ce54,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/26419/videos/1f38ed16-372f-4591-bc95-07842cf65de3/26419_1_wl60-0-0.mp4,1_wl60-0-0---WL60---26419---34844---0---0.mp4,1_wl60-0-0,26419,wl60,34844,true,,
5f89c039-4bc8-4602-af44-bcccee03deed,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/8170/videos/bd661228-e0b7-4326-a134-02038e585e72/8170_1_wl60-0-0.mp4,1_wl60-0-0---WL60---8170---34843---0---0.mp4,1_wl60-0-0,8170,wl60,34843,true,,
