Film Name,Language ID,Language BCP47,Version,ReEncodeStarted,Total Present,Total Missing,Missing Video IDs
JESUS Film,5174,bim,161,Y,62,0,
JESUS Film,12854,,163,Y,62,0,
JESUS Film,5173,biv,164,Y,62,0,
JESUS Film,12816,bpr,169,Y,62,0,
JESUS Film,3105,bla,171,Y,62,0,
JESUS Film,19594,brx,174,Y,62,0,
JESUS Film,2081,bmq,176,Y,62,0,
JESUS Film,140166,,180,Y,62,0,
JESUS Film,139885,,181,Y,62,0,
JESUS Film,158608,br,186,Y,62,0,
JESUS Film,7371,bru,189,Y,62,0,
JESUS Film,15667,,193,Y,62,0,
JESUS Film,19610,bwu,198,Y,62,0,
JESUS Film,2884,bum,199,Y,62,0,
JESUS Film,20587,bns,200,Y,62,0,
JESUS Film,17373,,206,Y,62,0,
JESUS Film,10343,bwr,207,Y,62,0,
JESUS Film,10570,,213,Y,62,0,
JESUS Film,5439,cak,216,Y,62,0,
JESUS Film,531,ca,220,Y,62,0,
JESUS Film,12784,ceb,224,Y,62,0,
JESUS Film,1253,ccp,226,Y,62,0,
JESUS Film,19372,cjm,228,Y,51,11,"1_jf-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,2145,cja,229,Y,62,0,
JESUS Film,5379,ch,230,Y,62,0,
JESUS Film,12791,cbk,234,Y,62,0,
JESUS Film,3099,clc,240,Y,62,0,
JESUS Film,1252,cnk,243,Y,62,0,
JESUS Film,159905,ctd,244,Y,62,0,
JESUS Film,23569,tcz,245,Y,62,0,
JESUS Film,8343,chq,248,Y,62,0,
JESUS Film,7922,cnt,249,Y,62,0,
JESUS Film,23033,cdo,257,Y,62,0,
JESUS Film,20627,hsn,273,Y,62,0,
JESUS Film,97745,chp,276,Y,62,0,
JESUS Film,20631,gui,277,Y,62,0,
JESUS Film,5648,cdi,282,Y,62,0,
JESUS Film,8420,cce,287,Y,62,0,
JESUS Film,140297,,290,Y,62,0,
JESUS Film,139129,,292,Y,62,0,
JESUS Film,20637,chk,292,Y,62,0,
JESUS Film,18574,cv,293,Y,62,0,
JESUS Film,8426,chw,294,Y,62,0,
JESUS Film,8323,crn,295,Y,62,0,
JESUS Film,4394,csr,297,Y,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,3087,crk,298,Y,62,0,
JESUS Film,22335,crh,299,Y,62,0,
JESUS Film,5059,pov,301,Y,62,0,
JESUS Film,1109,hr,302,Y,62,0,
JESUS Film,12773,,306,Y,62,0,
JESUS Film,5188,dga,309,Y,62,0,
JESUS Film,184814,dag,310,Y,62,0,
JESUS Film,147081,dnj,312,Y,62,0,
JESUS Film,6558,daq,313,Y,62,0,
JESUS Film,16447,dnw,316,Y,62,0,
JESUS Film,14081,,321,Y,62,0,
JESUS Film,3299,dzg,325,Y,62,0,
JESUS Film,22685,dcc,326,Y,62,0,
JESUS Film,1344,ddn,327,Y,62,0,
JESUS Film,22682,dhn,328,Y,62,0,
JESUS Film,10529,mki,329,Y,62,0,
JESUS Film,6548,,330,Y,62,0,
JESUS Film,16052,,332,Y,62,0,
JESUS Film,13644,did,333,Y,62,0,
JESUS Film,19652,dis,335,Y,62,0,
JESUS Film,1318,tbz,339,Y,62,0,
JESUS Film,139104,dgr,342,Y,62,0,
JESUS Film,143469,otd,343,Y,62,0,
JESUS Film,427,,344,Y,62,0,
JESUS Film,3803,kmc,346,Y,62,0,
JESUS Film,2854,dua,348,Y,62,0,
JESUS Film,23342,,349,Y,62,0,
JESUS Film,17601,mvp,350,Y,62,0,
JESUS Film,7166,dug,351,Y,62,0,
JESUS Film,5967,pci,352,Y,62,0,
JESUS Film,1375,dz,359,Y,62,0,
JESUS Film,9789,igb,360,Y,62,0,
JESUS Film,16074,,361,Y,62,0,
JESUS Film,10255,bin,362,Y,62,0,
JESUS Film,2728,efi,363,Y,62,0,
JESUS Film,7164,ebu,369,Y,62,0,
JESUS Film,19669,,370,Y,62,0,
JESUS Film,12200,enq,371,Y,62,0,
JESUS Film,154090,,376,Y,62,0,
JESUS Film,18483,myv,377,Y,62,0,
JESUS Film,5331,ee,381,Y,62,0,
JESUS Film,20662,fng,383,Y,62,0,
JESUS Film,24019,fan-GA,384,Y,62,0,
JESUS Film,2116,,405,Y,62,0,
JESUS Film,5183,ffm,406,Y,62,0,
JESUS Film,53418,fvr,408,Y,62,0,
JESUS Film,50836,ada,410,Y,62,0,
JESUS Film,6535,,411,Y,62,0,
JESUS Film,14818,gd,414,Y,62,0,
JESUS Film,1935,gag,415,Y,62,0,
JESUS Film,6533,gbl,418,Y,62,0,
JESUS Film,4633,dwr,420,Y,62,0,
JESUS Film,20675,lg,423,Y,62,0,
JESUS Film,1204,grt,426,Y,62,0,
JESUS Film,17807,,429,Y,62,0,
JESUS Film,22651,gbp,432,Y,62,0,
JESUS Film,4704,drs,433,Y,62,0,
JESUS Film,1342,gej,434,Y,62,0,
JESUS Film,6707,glk,442,Y,61,1,1_jf6101-0-0
JESUS Film,24340,,443,Y,62,0,
JESUS Film,24341,gra,444,Y,62,0,
JESUS Film,20117,nyf,445,Y,62,0,
JESUS Film,2754,giz,446,Y,62,0,
JESUS Film,14206,gog,447,Y,62,0,
JESUS Film,7617,gol,448,Y,62,0,
JESUS Film,6511,gno,449,Y,62,0,
JESUS Film,5187,gjn,450,Y,62,0,
JESUS Film,12327,gug,457,Y,62,0,
JESUS Film,10597,gym,458,Y,62,0,
JESUS Film,16048,gxx,460,Y,62,0,
JESUS Film,43229,,464,Y,62,0,
JESUS Film,1296,gux,466,Y,62,0,
JESUS Film,184659,guk,467,Y,62,0,
JESUS Film,1297,guw,468,Y,62,0,
JESUS Film,143300,,470,Y,62,0,
JESUS Film,4684,gru,472,Y,62,0,
JESUS Film,2062,gur,473,Y,62,0,
JESUS Film,7326,guz,477,Y,62,0,
JESUS Film,20693,gyn,478,Y,62,0,
JESUS Film,14692,gwr,479,Y,62,0,
JESUS Film,19733,,480,Y,62,0,
JESUS Film,4667,hdy,481,Y,62,0,
JESUS Film,19739,hlb,483,Y,62,0,
JESUS Film,98630,jab,484,Y,62,0,
JESUS Film,20696,hoj,488,Y,62,0,
