referenceId,videoId,languageId,name,updatedAt,groupMemberVideoIds,videoVariantExists,muxVideoIdExists,isFeatureMissing,isAnyClipMissing
WESS_1259-cl-0-0_1438889702,1_cl-0-0,1259,The Story of JESUS for Children,2020-03-20T23:20:43.384Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1269-cl-0-0_1440088502,1_cl-0-0,1269,The Story of JESUS for Children,2020-03-20T21:50:53.444Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_12723-cl-0-0_1439231704,1_cl-0-0,12723,The Story of JESUS for Children,2020-03-20T22:22:20.345Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1276-cl-0-0_1456316702,1_cl-0-0,1276,The Story of JESUS for Children,2020-03-20T22:37:31.011Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_12784-cl-0-0_1438915503,1_cl-0-0,12784,The Story of JESUS for Children,2020-03-20T23:20:43.900Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_12876-cl-0-0_1439330102,1_cl-0-0,12876,The Story of JESUS for Children,2020-03-20T23:20:37.471Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1308-cl-0-0_1452132902,1_cl-0-0,1308,The Story of JESUS for Children,2020-03-20T21:51:31.596Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13098-cl-0-0_1452128702,1_cl-0-0,13098,The Story of JESUS for Children,2020-03-20T22:59:13.402Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13169-cl-0-0_1439324103,1_cl-0-0,13169,The Story of JESUS for Children,2020-03-20T22:02:06.599Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13172-cl-0-0_1439315702,1_cl-0-0,13172,The Story of JESUS for Children,2020-03-20T23:20:35.433Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13316-cl-0-0_1439250902,1_cl-0-0,13316,The Story of JESUS for Children,2020-03-20T23:01:21.921Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13408-cl-0-0_1452131702,1_cl-0-0,13408,The Story of JESUS for Children,2020-03-20T22:59:14.985Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1341-29071-ac-0-0_1341090901,1_cl-0-0,1341,The Story of JESUS for Children,2020-03-21T00:10:39.629Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13414-cl-0-0_1452131102,1_cl-0-0,13414,The Story of JESUS for Children,2020-03-20T22:59:10.594Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_13465-cl-0-0_1452126902,1_cl-0-0,13465,The Story of JESUS for Children,2020-03-20T22:38:12.095Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
