referenceId,videoId,languageId,name,updatedAt,groupMemberVideoIds,videoVariantExists,muxVideoIdExists,isFeatureMissing,isAnyClipMissing
WESS_24038-cl-0-0_1682601179,1_cl-0-0,24038,The Story of Jesus for Children,2023-04-27T13:29:44.935Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,false,true
WESS_24156-cl-0-0_1439313305,1_cl-0-0,24156,The Story of JESUS for Children,2020-03-20T22:40:23.130Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_24249-cl-0-0_1439313302,1_cl-0-0,24249,The Story of JESUS for Children,2020-03-20T23:52:10.170Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_24309-cl-0-0_1439322302,1_cl-0-0,24309,The Story of JESUS for Children,2020-03-20T22:22:18.052Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_2614-cl-0-0_1452119702,1_cl-0-0,2614,The Story of JESUS for Children,2020-03-20T22:59:19.651Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_371-cl-0-0_1439235302,1_cl-0-0,371,The Story of JESUS for Children,2020-03-20T22:22:18.758Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_3712-cl-0-0_1438881301,1_cl-0-0,3712,The Story of JESUS for Children,2020-03-20T23:20:42.144Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_3804-24855-cl-0-0_1337826902,1_cl-0-0,3804,The Story of JESUS for Children,2020-03-21T00:02:05.901Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_3887-24870-cl-0-0_1338008702,1_cl-0-0,3887,The Story of JESUS for Children,2020-03-21T00:01:52.190Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_3888-cl-0-0_1439331303,1_cl-0-0,3888,The Story of JESUS for Children,2020-03-20T23:20:40.632Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
